Title,Author,Start Date,End Date,Publication Year,Source,Volume,Issue,Beg page,End page,Order,Family,Genus,Species,Age,Latitude,Longitude,Number monitored,Total Mortality,Known Mortality,Total Harvest,Legal Harvest,Illegal Harvest,Vehicle,Poisoning,Agricultural,Train,Fence Entanglement,Other Human,Management Related,Predation,Disease,Accident/Injury,Other Natural,Starvation/Malnutrition,Weather,Drowning,Other Animal-Nonpredation,Unknown
Ecology and Behavior of Wolverine in Yukon,Banci,1982,1985,1987,Thesis: Simon Fraser University,,,1,178,Carnivora,Mustelidae,Gulo,gulo,Juvenile,61.44720,-139.51991,10,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0
"Demographic parameters of endangered Asiatic lions in Gir Forests, India",Banerjee,2000,2010,2012,Journal of Mammalogy,93,6,1420,1430,Carnivora,Felidae,Panthera,leo,Adult,21.11122,70.81086,20,8,8,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,3,0
Survival Rates of Adult Female Moose on the Kenai Peninsula,Bangs,1980,1986,1989,The Journal of Wildlife Management,53,3,557,563,Artiodactyla,Cervidae,Alces,alces,Adult,60.72435,-150.21466,51,16,15,3,1,2,6,0,0,0,0,0,0,2,0,2,2,0,0,0,0,1
Elk Calf Survival and Mortality following Wolf Restoration to Yellowstone National Park,Barber-Meyer,2003,2006,2008,Wildlife Monographs,69,1,1,30,Artiodactyla,Cervidae,Cervus,elaphus,Juvenile,44.63613,-110.56755,151,104,104,1,0,1,0,0,0,0,0,0,0,98,1,0,3,0,0,1,0,0
Brown Bear-Human Interactions Associated with Deer Hunting on Kodiak Island,Barnes,1988,1990,1994,Bears: Their Bio and Manage,9,1,63,73,Carnivora,Ursidae,Ursus,arctos,Adult,57.63556,-152.90995,NA,8,8,2,2,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0
Brown Bear-Human Interactions Associated with Deer Hunting on Kodiak Island,Barnes,1988,1990,1994,Bears: Their Bio and Manage,9,1,63,73,Carnivora,Ursidae,Ursus,arctos,Adult,57.63556,-152.90995,NA,6,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Predator-specific mortality of pronghorn on yellowstone's Northern range,Barnowe-Meyer,1999,2005,2009,Western North American Naturalist,69,2,186,194,Artiodactyla,Antilocapridae,Antilocapra,americana,Adult,44.75003,-110.76142,40,22,14,0,0,0,0,0,0,0,0,0,0,13,0,0,1,0,0,0,0,8
"Movements, Habitat Use, and Predation on Pronghorn Fawns in Alberta",Barrett,1975,1976,1984,The Journal of Wildlife Management,48,2,542,550,Artiodactyla,Antilocapridae,Antilocapra,americana,Juvenile,51.47621,-112.07555,62,40,40,0,0,0,0,0,0,0,0,0,0,27,0,0,0,12,0,0,1,0
Mortality of White-Tailed Deer Fawns in the Wichita Mountains,Bartush,1976,1977,1981,Proc Okla Acad Sci,61,,23,27,Artiodactyla,Cervidae,Odocoileus,virginianus,Juvenile,34.74827,-98.69246,48,43,41,0,0,0,0,0,0,0,0,0,0,38,0,0,0,2,0,1,0,2
Selecting habitat to survive: the impact of road density on survival in a large carnivore,Basille,1995,2008,2013,Plos One,8,7,e65493,,Carnivora,Felidae,Lynx,lynx,Adult,60.50707,12.23718,46,37,37,33,19,14,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
An assessment of quality deer management on a private hunt club in the Virginia Piedmont,Batts,2003,2006,2008,Thesis: Virginia Polytechnic Institute and State University,,,1,111,Artiodactyla,Cervidae,Odocoileus,virginianus,Adult,37.37724,-78.08902,5,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
An assessment of quality deer management on a private hunt club in the Virginia Piedmont,Batts,2003,2006,2008,Thesis: Virginia Polytechnic Institute and State University,,,1,111,Artiodactyla,Cervidae,Odocoileus,virginianus,Juvenile,37.37724,-78.08902,15,10,10,0,7,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Mortality of Pronghorn Antelope Fawns in Western Utah,Beale,1967,1974,1973,The Journal of Wildlife Management,37,3,343,352,Artiodactyla,Antilocapridae,Antilocapra,americana,Juvenile,38.67334,-113.82563,117,44,39,0,0,0,0,0,0,0,0,0,0,29,5,0,1,4,0,0,0,5
"Habitat selection, condition and survival of Shiras moose in northwest Wyoming",Becker,2005,2006,2008,Thesis: University of Wyoming,,,1,218,Artiodactyla,Cervidae,Alces,alces,Adult,43.79065,-110.68306,111,38,21,5,5,0,2,0,0,0,0,0,0,8,0,0,6,0,0,0,0,17
Dispersal of juvenile cougars in fragmented habitat,Beier,1989,1993,1995,The Journal of Wildlife Management,59,2,228,237,Carnivora,Felidae,Puma,concolor,Juvenile,33.56081,-117.40665,9,7,7,1,1,0,3,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0
Human-caused mortality and population trends of American marten and fisher in a U.S. National Park,Belant,2001,2005,2007,Natural Areas Journal,27,2,155,160,Carnivora,Mustelidae,Martes,pennanti,Adult,46.57861,-86.29864,14,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Human-caused mortality and population trends of American marten and fisher in a U.S. National Park,Belant,2001,2005,2007,Natural Areas Journal,27,2,155,160,Carnivora,Mustelidae,Martes,americana,Adult,46.57861,-86.29864,35,7,7,4,4,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Population Ecology of Columbian Black-Tailed Deer in Urban Vancouver,Bender,1999,2001,2004,The Northwestern Naturalist,85,2,53,59,Artiodactyla,Cervidae,Odocoileus,hemionus,Adult,45.64283,-122.63222,19,4,4,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
