Title,Author,Start Date,End Date,Publication Year,Source,Volume,Issue,Beg page,End page,Order,Family,Genus,Species,Age,Latitude,Longitude,Number monitored,Total Mortality,Known Mortality,Total Harvest,Legal Harvest,Illegal Harvest,Vehicle,Poisoning,Agricultural,Train,Fence Entanglement,Other Human,Management Related,Predation,Disease,Accident/Injury,Other Natural,Starvation/Malnutrition,Weather,Drowning,Other Animal-Nonpredation,Unknown
Ecology of Bobcats Relative to Exploitation and a Prey Decline in Southeastern Idaho,Knick,1982,1985,1990,Wildlife Monographs,108,1,3,42,Carnivora,Felidae,Lynx,rufus,Adult,43.48195,-112.57825,40,17,16,8,5,3,1,0,0,1,0,0,0,3,0,0,0,3,0,0,0,1
"Survival, Cause-Specific Mortality, Sex, and Ages of American Black Bears in Washington State, USA",Koehler,1994,1999,2005,Ursus,16,2,157,166,Carnivora,Ursidae,Ursus,americanus,Adult,47.00097,-123.01509,29,11,11,11,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Survival, Cause-Specific Mortality, Sex, and Ages of American Black Bears in Washington State, USA",Koehler,1994,1999,2005,Ursus,16,2,157,166,Carnivora,Ursidae,Ursus,americanus,Adult,47.90953,-119.90359,42,16,16,14,14,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Habitat selection and demography of bobcats in Iowa,Koehler,2003,2005,2006,Thesis: Iowa State University,,,1,96,Carnivora,Felidae,Lynx,rufus,Multiple,40.79685,-93.90718,44,9,8,1,0,1,3,0,0,1,0,2,0,1,0,0,0,0,0,0,0,1
"Survival, Cause-Specific Mortality, Sex, and Ages of American Black Bears in Washington State, USA",Koehler,1994,1999,2005,Ursus,16,2,157,166,Carnivora,Ursidae,Ursus,americanus,Adult,46.98650,-120.99609,65,31,30,15,15,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,1
Fisher Survival in Eastern Ontario,Koen,2003,2005,2007,The Journal of Wildlife Management,71,4,1214,1219,Carnivora,Mustelidae,Martes,pennanti,Adult,44.83514,-75.48347,59,28,20,9,9,0,0,0,0,0,0,3,0,0,0,0,8,0,0,0,0,8
Survival and Cause-Specific Mortality of Pronghorn in Southwestern North Dakota,Kolar,2004,2008,2012,The American Midland Natrualist,167,1,164,173,Artiodactyla,Antilocapridae,Antilocapra,americana,Adult,46.14198,-103.59843,134,112,92,70,70,0,6,0,0,0,1,0,0,3,1,0,0,11,0,0,0,20
"Reproduction and survival of brown bears in southwest Alaska, USA",Kovach,1993,2003,2006,Ursus,17,1,16,29,Carnivora,Ursidae,Ursus,arctos,Adult,60.00000,-159.00000,40,13,13,0,0,0,0,0,0,0,0,3,0,0,0,1,6,0,0,0,3,0
Reproduction and mortality of invasive raccoon dogs in the Bialowieza Primeval Forest,Kowalczyk,1997,2000,2009,Ann Zool Fennici,46,4,291,301,Carnivora,Canidae,Nyctereutes,procyonoides,Adult,52.66273,23.72550,82,15,12,2,0,2,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,3
Niche overlap and resource partitioning between sympatric kit foxes and coyotes in the Great Basin Desert of Utah,Kozlowski,1999,2001,2008,The American Midland Natrualist,160,1,191,208,Carnivora,Canidae,Canis,latrans,Adult,40.06663,-113.42526,26,10,8,4,4,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,2
Niche overlap and resource partitioning between sympatric kit foxes and coyotes in the Great Basin Desert of Utah,Kozlowski,1999,2001,2008,The American Midland Natrualist,160,1,191,208,Carnivora,Canidae,Canis,latrans,Adult,40.06663,-113.42526,28,9,8,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,1
Where have all the cavies gone? Causes and consequences of predation by the mino grison on a wild cavy population,Kraus,1999,2001,2004,Oikos,105,3,489,500,Rodentia,Caviidae,Cavia,magna,Adult,-34.60985,-54.23392,102,85,75,0,0,0,0,0,0,0,0,0,0,74,0,1,0,0,0,0,0,10
Relationships between desert bighorn sheep and habitat in western Arizona,Krausman,1980,1986,1989,Wildlife Monographs,102,1,3,66,Artiodactyla,Bovidae,Ovis,canadensis,Adult,33.80813,-113.31212,34,6,6,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0
Relationships between desert bighorn sheep and habitat in western Arizona,Krausman,1980,1986,1989,Wildlife Monographs,102,1,3,66,Artiodactyla,Bovidae,Ovis,canadensis,Adult,33.68023,-113.70144,NA,6,6,1,0,1,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0
"Population dynamics of the collared lemming and the tundra vole at Pearce Point, Northwest Territories, Canada",Krebs,1987,1989,1995,Oceologia,103,4,481,489,Rodentia,Cricetidae,Dicrostonyx,groenlandicus,Adult,69.78909,-122.65512,270,135,135,0,0,0,0,0,0,0,0,6,0,129,0,0,0,0,0,0,0,0
Cyclic dynamics of snowshoe hares on a small island in the Yukon,Krebs,1977,2001,2002,Canadian Journal of Zoology,80,8,1442,1450,Lagomorpha,Leporidae,Lepus,americanus,Adult,61.24184,-138.40177,580,88,74,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,14
Wolf and bear predation on white-tailed deer fawns in northeastern Minnesota,Kunkel,1989,1990,1994,Canadian Journal of Zoology,72,9,1557,1565,Artiodactyla,Cervidae,Odocoileus,virginianus,Juvenile,47.90051,-91.80560,21,15,15,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
Species-Specific Population Dynamics of Cervids in a Multipredator Ecosystem,Kunkel,1990,1996,1999,The Journal of Wildlife Management,63,4,1082,1093,Artiodactyla,Cervidae,Alces,alces,Adult,48.01198,-113.80301,49,21,19,3,3,0,0,0,0,0,0,0,0,14,0,1,1,0,0,0,0,2
Species-Specific Population Dynamics of Cervids in a Multipredator Ecosystem,Kunkel,1990,1996,1999,The Journal of Wildlife Management,63,4,1082,1093,Artiodactyla,Cervidae,Cervus,elaphus,Adult,48.01198,-113.80301,55,28,27,6,6,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,1
Species-Specific Population Dynamics of Cervids in a Multipredator Ecosystem,Kunkel,1990,1996,1999,The Journal of Wildlife Management,63,4,1082,1093,Artiodactyla,Cervidae,Odocoileus,virginianus,Adult,48.01198,-113.80301,67,42,39,5,5,0,0,0,0,0,0,0,0,33,0,0,1,0,0,0,0,3
Pack Size of Wolves on Caribou winter ranges in West central Alberta,Kuzyk,2000,2001,2006,Canadian Field Naturalist,120,3,313,318,Carnivora,Canidae,Canis,lupus,Adult,53.80620,-119.40782,33,7,7,2,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
Effect of Hurricane Andrew on Survival and Movements of White-Tailed Deer in the Everglades,Labisky,1991,1993,1999,The Journal of Wildlife Management,63,3,872,879,Artiodactyla,Cervidae,Odocoileus,virginianus,Adult,25.64494,-80.92886,32,5,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Population ecology of white-tailed deer in Big Cypress National Preserve and Everglades National Park,Labisky,1989,1991,1995,Final Report to USDI-National Park Service,,,1,38,Artiodactyla,Cervidae,Odocoileus,virginianus,Adult,25.69934,-80.97054,85,36,26,18,18,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,10
Population ecology of white-tailed deer in Big Cypress National Preserve and Everglades National Park,Labisky,1989,1991,1995,Final Report to USDI-National Park Service,,,1,38,Artiodactyla,Cervidae,Odocoileus,virginianus,Juvenile,25.69934,-80.97054,103,58,38,3,3,0,0,0,0,0,0,0,0,33,0,0,0,2,0,0,0,20
Cougar population dynamics and viability in the Pacific Northwest,Lambert,1998,2003,2006,The Journal of Wildlife Management,70,1,246,254,Carnivora,Felidae,Puma,concolor,Adult,49.08125,-117.52558,52,24,24,22,22,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Mortality Patterns of Female White-Tailed Deer in Southwest Florida,Land,1986,1990,1993,Proc Ann Conf SEAFWA,47,,176,184,Artiodactyla,Cervidae,Odocoileus,virginianus,Adult,25.85308,-81.39589,66,28,26,6,4,2,0,0,0,0,0,0,0,16,0,0,4,0,0,0,0,2
"Habitat selection, mortality and population monitoring of Shiras Moose in the North Fork of the Flathead River Valley, Montana",Langley,1989,1991,1993,Thesis: University of Montana,,,1,162,Artiodactyla,Cervidae,Alces,alces,Adult,48.96750,-114.01774,26,4,4,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0
Causes and Rate of Moose Mortality in the Southwest Yukon,Larsen,1983,1985,1989,The Journal of Wildlife Management,53,3,548,557,Artiodactyla,Cervidae,Alces,alces,Adult,59.84075,-131.13435,114,10,7,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,3
Causes and Rate of Moose Mortality in the Southwest Yukon,Larsen,1983,1985,1989,The Journal of Wildlife Management,53,3,548,557,Artiodactyla,Cervidae,Alces,alces,Juvenile,59.84075,-131.13435,119,84,84,0,0,0,0,0,0,0,0,0,0,77,0,0,7,0,0,0,0,0
"Home ranges and mortality of a roadside koala Phascolarctos cinereus population at Bonville, New South Wales",Lassau,2000,2002,2008,Too close for comfort: contentious issues in human-wildlife encounters,,,127,136,Diprotodontia,Phascolarctidae,Phascolarctos ,cinereus,Adult,-30.39652,153.07300,14,7,7,0,0,0,1,0,0,0,0,0,0,1,2,1,2,0,0,0,0,0
Population Viability and Connectivity of the Louisiana Black Bear (Ursus americanus luteolus),Laufenberg,2002,2012,2014,USGS Open File Report 2014-1229,,,1,105,Carnivora,Ursidae,Ursus,americanus,Adult,31.27299,-91.74286,43,8,8,4,0,4,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Population Viability and Connectivity of the Louisiana Black Bear (Ursus americanus luteolus),Laufenberg,2002,2012,2014,USGS Open File Report 2014-1228,,,1,105,Carnivora,Ursidae,Ursus,americanus,Adult,32.22903,-91.44733,86,3,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Desert Mule Deer Survival in Southwest Texas,Lawrence,1990,1993,2004,The Journal of Wildlife Management,68,3,561,569,Artiodactyla,Cervidae,Odocoileus,hemionus,Adult,30.27269,-103.64419,95,37,34,12,12,0,0,0,0,0,0,0,0,12,0,5,5,0,0,0,0,3
Desert Mule Deer Survival in Southwest Texas,Lawrence,1990,1993,2004,The Journal of Wildlife Management,68,3,561,569,Artiodactyla,Cervidae,Odocoileus,hemionus,Juvenile,30.27269,-103.64419,95,27,24,2,2,0,0,0,0,0,0,0,0,11,0,5,6,0,0,0,0,3
Causes of Black Bear Cub Mortality,Lecount,1982,1985,1987,Bears: Their Bio and Manage,7,,75,82,Carnivora,Ursidae,Ursus,americanus,Juvenile,33.82486,-111.17016,23,11,8,1,1,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,3
Characteristics of a Central Arizona Black Bear Population,Lecount,1973,1978,1982,The Journal of Wildlife Management,46,4,861,868,Carnivora,Ursidae,Ursus,americanus,Adult,33.68550,-111.40259,55,3,3,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Characteristics of a Central Arizona Black Bear Population,Lecount,1973,1978,1982,The Journal of Wildlife Management,46,4,861,868,Carnivora,Ursidae,Ursus,americanus,Juvenile,33.68550,-111.40259,NA,3,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Characteristics of a High Density Population of Southern Fox Squirrels,Lee,1998,1999,2008,The American Midland Natrualist,159,2,385,393,Rodentia,Sciuridae,Sciurus,carolinensis,Adult,32.32206,-80.82330,54,13,12,0,0,0,4,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1
Yearling and Subadult Black Bear Survival in a Hunted Virginia Population,Lee,1999,2002,2005,The Journal of Wildlife Management,69,4,1641,1651,Carnivora,Ursidae,Ursus,americanus,Adult,37.42955,-80.43430,141,46,46,46,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pumas Affect Elk Dynamics in Absence of Other Large Carnivores,Lehman,2011,2015,2018,The Journal of Wildlife Management,82,2,344,353,Artiodactyla,Cervidae,Cervus,elaphus,Adult,43.63513,-103.82904,184,18,17,8,8,0,2,0,0,0,0,0,0,5,0,2,0,0,0,0,0,1
Pumas Affect Elk Dynamics in Absence of Other Large Carnivores,Lehman,2011,2015,2018,The Journal of Wildlife Management,82,2,344,353,Artiodactyla,Cervidae,Cervus,elaphus,Juvenile,43.63513,-103.82904,NA,73,72,0,0,0,0,0,0,0,0,0,0,69,2,0,1,0,0,0,0,1
Survival and antipredator behavior of woodchucks along an urban-agricultural gradient,Lehrer,2007,2009,2012,Canadian Journal of Zoology,90,1,12,21,Rodentia,Sciuridae,Marmota,monax,Adult,40.10785,-88.23905,41,26,17,0,0,0,5,0,0,0,0,0,2,7,0,0,3,0,0,0,0,9
Temperature mediated moose survival in Northeastern Minnesota,Lenarz,2002,2008,2009,The Journal of Wildlife Management,73,4,503,510,Artiodactyla,Cervidae,Alces,alces,Adult,47.49147,-91.43486,116,80,80,17,15,2,8,0,0,0,0,0,0,5,1,0,49,0,0,0,0,0
"Eastern Spotted Skunk Survival and Cause-specific Mortality in the Ouachita Mountains, Arkansas",Lesmeister,2005,2007,2010,The American Midland Natrualist,164,1,52,60,Carnivora,Mephitidae,Spilogale,putorius,Adult,34.63298,-93.58045,33,19,17,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,2
The bush dog Speothos venaticus: area requirement and habitat use in cultivated lands,Lima,2008,2009,2015,Oryx,49,1,64,70,Carnivora,Canidae,Speothos,venaticus,Adult,-12.31616,-54.66658,10,4,4,2,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Survival Rates of Mountain Lions in Southern Utah,Lindzey,1980,1986,1988,The Journal of Wildlife Management,52,4,664,667,Carnivora,Felidae,Puma,concolor,Adult,38.36671,-111.26105,39,9,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,3
Survival Rates of Mountain Lions in Southern Utah,Lindzey,1980,1986,1988,The Journal of Wildlife Management,52,4,664,667,Carnivora,Felidae,Puma,concolor,Juvenile,38.36671,-111.26105,NA,7,7,6,4,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Short-tailed weasel space use in managed forests of Western Oregon,Linnell,2012,2013,2014,Thesis: Oregon State University,,,1,88,Carnivora,Mustelidae,Mustela,erminea,Adult,44.65841,-123.23867,29,8,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3
Use of fragmented landscape by three species of opossum in south-eastern Brazil,Lira,2001,2004,2007,Journal of Tropical Ecology,23,4,427,435,Didelphimorphia,Caluromyidae,Caluromys,philander,Adult,-22.54857,-42.26682,4,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Use of fragmented landscape by three species of opossum in south-eastern Brazil,Lira,2001,2004,2007,Journal of Tropical Ecology,23,4,427,435,Didelphimorphia,Didelphidae,Philander,frenatus,Adult,-22.54857,-42.26682,8,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"Human Predation Risk Effects on Adult, Male White-Tailed Deer Antipredator Behavior",Little,2008,2009,2011,Thesis: Mississippi State University,,,1,103,Artiodactyla,Cervidae,Odocoileus,virginianus,Adult,34.00896,-97.27055,37,11,11,9,1,8,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Influence of Season and Human-Induced Mortality on Spatial Organization of Bobcats,Litvaitis,1979,1984,1987,Journal of Mammalogy,68,1,100,106,Carnivora,Felidae,Lynx,rufus,Adult,45.18669,-70.22193,30,21,19,14,14,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
"Habitat use and movements of desert bighorn sheep at Elephant Mountain Wildlife Management Area, Texas",Locke,2001,2002,2003,Thesis: Sul Ross State University,,,1,121,Artiodactyla,Bovidae,Ovis,canadensis,Adult,29.94387,-103.64222,20,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Wolverine Ecology in Plateau and Foothill Landscapes,Lofroth,2000,2001,2001,"Year End Report, Forest Renewal Activity 712261",,,1,99,Carnivora,Mustelidae,Gulo,gulo,Adult,55.91638,-124.19753,40,5,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Wolverine Ecology in Plateau and Foothill Landscapes,Lofroth,2000,2001,2001,"Year End Report, Forest Renewal Activity 712260",,,1,99,Carnivora,Mustelidae,Gulo,gulo,Juvenile,55.91638,-124.19753,NA,4,3,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Study of white-tailed deer fawn mortality on Cookson Hills Deer Refuge Eastern Oklahoma,Logan,1970,1972,1972,Proc Ann Conf SEAFWA,26,,27,39,Artiodactyla,Cervidae,Odocoileus,virginianus,Juvenile,35.71152,-94.91943,22,14,12,0,0,0,1,0,1,0,0,0,0,0,10,0,0,0,0,0,0,2
Characteristics of a Hunted Mountain Lion Population in Wyoming,Logan,1981,1983,1986,The Journal of Wildlife Management,50,4,648,654,Carnivora,Felidae,Puma,concolor,Multiple,44.43729,-107.26554,46,7,6,4,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1
"Habitat-Related Differences in Rabbit Abundance, Distribution and Activity",Lombardi,1997,1998,2003,Journal of Mammalogy,84,1,1545,1542,Lagomorpha,Leporidae,Oryctolagus,cuniculus,Adult,36.96267,-6.42346,51,30,30,0,0,0,0,0,0,0,0,0,0,22,8,0,0,0,0,0,0,0
Mortality and survival of white-tailed deer fawns on a north Atlantic coastal island,Long,1991,1995,1998,Wildlife Biology,4,,237,247,Artiodactyla,Cervidae,Odocoileus,virginianus,Juvenile,44.39610,-68.27638,29,17,16,0,0,0,3,0,0,0,0,0,0,10,0,0,0,0,0,3,0,1
Evaluating Mortality rates and casualties in a critically endangered felid across its while distribution range,Lopez,2006,2011,2014,European Journal of Wildlife Research,60,2,359,366,Carnivora,Felidae,Lynx,pardinus,Adult,38.33986,-3.87292,39,19,16,4,0,4,2,0,0,0,0,0,0,0,9,0,0,0,0,0,1,3
"Survival, Mortality and Life Expectancy of Florida Key Deer",Lopez,1968,2000,2003,The Journal of Wildlife Management,67,1,34,45,Artiodactyla,Cervidae,Odocoileus,virginianus,Adult,24.70109,-81.37069,314,88,58,0,0,0,45,0,0,0,3,0,0,2,2,0,0,0,0,6,0,30
Evaluating Mortality rates and casualties in a critically endangered felid across its while distribution range,Lopez,2006,2011,2014,European Journal of Wildlife Research,60,2,359,366,Carnivora,Felidae,Lynx,pardinus,Juvenile,38.33986,-3.87292,NA,7,5,2,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2
The impact of sport-hunting on the population dynamics of an African lion population in a protected area,Loveridge,1999,2004,2007,Biological Conservation,134,4,548,558,Carnivora,Felidae,Panthera,leo,Adult,-18.93556,27.11549,62,28,28,22,18,4,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0
The impact of sport-hunting on the population dynamics of an African lion population in a protected area,Loveridge,1999,2004,2007,Biological Conservation,134,4,548,558,Carnivora,Felidae,Panthera,leo,Juvenile,-18.93556,27.11549,NA,6,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Modelling mammalian extinction and forecasting recovery: koalas at Iluka (NSW, Australia)",Lunney,1989,1999,2002,Biological Conservation,106,1,101,113,Diprotodontia,Phascolarctidae,Phascolarctos ,cinereus,Adult,-29.41149,153.36051,17,13,10,0,0,0,3,0,0,0,0,0,0,2,5,0,0,0,0,0,0,3
Post-fire survival and reproduction of rehabilitated and unburnt koalas,Lunney,1994,1996,2004,Biological Conservation,120,4,567,575,Diprotodontia,Phascolarctidae,Phascolarctos ,cinereus,Adult,-32.69031,151.87103,23,9,7,0,0,0,1,0,0,0,0,0,0,3,1,1,1,0,0,0,0,2
Hide or die: use of cover decreases predation risk in juvenile North American porcupines,Mabille,2003,2004,2014,Journal of Mammalogy,95,5,992,1003,Rodentia,Erethizonidae,Erethizon,dorsatum,Juvenile,48.35547,-68.80619,14,10,9,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1
Predation as a probable mechanism relating winter weather to population dynamics in a North American porcupine population,Mabille,2000,2005,2010,Population Ecology,52,4,537,546,Rodentia,Erethizonidae,Erethizon,dorsatum,Adult,48.35547,-68.80619,97,46,46,0,0,0,2,0,0,0,0,0,0,28,0,3,0,13,0,0,0,0
"Influence of flood waters on survival, reproduction and habitat use of white-tailed deer in the Florida Everglades",MacDonald-Beyers,1994,1995,2005,Wetlands,25,3,659,666,Artiodactyla,Cervidae,Odocoileus,virginianus,Adult,25.69934,-80.97054,51,25,14,1,1,0,0,0,0,0,0,0,0,6,2,0,0,5,0,0,0,11
"Demography and Population Trend of Grizzly Bears in the Swan Mountains, Montana",Mace,1987,1996,1998,Conservation Biology,12,5,1005,1016,Carnivora,Ursidae,Ursus,arctos,Adult,47.82503,-113.64584,50,13,9,0,0,0,0,0,0,0,0,5,1,0,0,0,3,0,0,0,0,4
Grizzly Bear Population Vital Rates and Trend in the Northern Continental Divide Ecosystem,Mace,2004,2009,2012,The Journal of Wildlife Management,76,1,119,128,Carnivora,Ursidae,Ursus,arctos,Multiple,47.82503,-113.64584,83,8,5,0,0,0,0,0,0,0,0,2,2,0,0,0,1,0,0,0,0,3
"Demography and Population Trend of Grizzly Bears in the Swan Mountains, Montana",Mace,1987,1996,1998,Conservation Biology,12,5,1005,1016,Carnivora,Ursidae,Ursus,arctos,Juvenile,47.82503,-113.64584,NA,17,16,1,1,0,0,0,0,0,0,6,2,0,0,0,7,0,0,0,0,1
"Movements, resource selection, and risk analysis for parasitic disease in an expanding moose population in the northern Great Plains",Mackey,2004,2006,2008,Thesis: University of South Dakota,,,1,120,Artiodactyla,Cervidae,Alces,alces,Adult,48.95666,-100.07750,14,4,3,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1
"Beaver Ecology in Bridge Creek, a Tributary to the John Day River",Maenhout,2011,2012,2013,Thesis: Oregon State University,,,1,79,Rodentia,Castoridae,Castor,canadensis,Adult,44.73447,-120.30524,46,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Survival of White Tailed Deer in Wisconsin's Chronic Wasting Disease Zone,Magle,2003,2006,2012,The Northeastern Naturalist,19,1,67,76,Artiodactyla,Cervidae,Odocoileus,virginianus,Adult,43.11522,-89.82223,160,53,45,38,38,0,1,0,0,0,0,0,0,1,4,0,1,0,0,0,0,8
Survival of White Tailed Deer in Wisconsin's Chronic Wasting Disease Zone,Magle,2003,2006,2012,The Northeastern Naturalist,19,1,67,76,Artiodactyla,Cervidae,Odocoileus,virginianus,Juvenile,43.11522,-89.82223,NA,18,10,5,5,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,8
Habitat Selection and demography of a nonmigratory woodland caribou population in Newfoundland,Mahoney,1994,1996,2003,Canadian Journal of Zoology,81,2,321,334,Artiodactyla,Cervidae,Rangifer,tarandus,Adult,48.92358,-57.62636,24,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
Habitat Selection and demography of a nonmigratory woodland caribou population in Newfoundland,Mahoney,1994,1996,2003,Canadian Journal of Zoology,81,2,321,334,Artiodactyla,Cervidae,Rangifer,tarandus,Juvenile,48.92358,-57.62636,46,15,9,1,0,1,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,6
Long-Term Changes in Demography and Migration of Newfoundland Caribou,Mahoney,1994,2000,2002,Journal of Mammalogy,83,4,957,963,Artiodactyla,Cervidae,Rangifer,tarandus,Adult,48.78548,-56.97979,54,24,10,6,6,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,14
Woodland caribou calf mortality in Insular Newfoundland,Mahoney,1979,1984,1990,Trans 19th IUGB Congress,,,592,599,Artiodactyla,Cervidae,Rangifer,tarandus,Juvenile,47.66898,-57.03369,225,52,52,1,0,1,0,0,0,0,0,0,0,40,5,2,4,0,0,0,0,0
"The Swift Fox in Rangeland and Cropland in Western Kansas: Relative Abundance, Mortality, and Body Size",Matlack,1994,1995,2000,The Southwestern Naturalist,45,2,221,225,Carnivora,Canidae,Vulpes,velox,Adult,39.11625,-101.65282,52,21,21,0,0,0,5,0,0,0,0,0,0,7,0,0,9,0,0,0,0,0
"Reproduction, recruitment, and dispersal of fishers in a managed Douglas-fir forest in California",Matthews,2005,2008,2013,Journal of Mammalogy,94,1,100,108,Carnivora,Mustelidae,Martes,pennanti,Juvenile,41.05462,-123.66014,14,3,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1
"Reproduction, recruitment, and dispersal of fishers in a managed Douglas-fir forest in California",Matthews,2005,2008,2013,Journal of Mammalogy,94,1,100,108,Carnivora,Mustelidae,Martes,pennanti,Adult,41.05462,-123.66014,40,6,6,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0
Survival of Adult Martens in Northern Wisconsin,McCann,1993,2006,2010,The Journal of Wildlife Management,74,7,1502,1507,Carnivora,Mustelidae,Martes,americana,Adult,46.28560,-91.16000,40,12,10,0,0,0,0,0,0,0,0,1,0,9,0,0,0,0,0,0,0,2
Fox Squirrel Survival in Urban and Rural Environments,McCleery,2003,2005,2008,The Journal of Wildlife Management,72,1,133,137,Rodentia,Sciuridae,Sciurus,niger,Adult,30.61543,-96.34181,128,40,30,0,0,0,15,0,0,0,0,5,0,10,0,0,0,0,0,0,0,10
Elk Survival and Mortality Causes in the Blue Mountains of Washington,McCorquodale,2003,2006,2011,The Journal of Wildlife Management,75,4,897,904,Artiodactyla,Cervidae,Cervus,elaphus,Juvenile,46.22640,-117.91455,65,45,43,37,34,3,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,2
"Movements, Survival and Mortality of Black-tailed Deer in the Klickitat Basin of Washington",McCorquodale,1988,1993,1999,The Journal of Wildlife Management,63,3,861,871,Artiodactyla,Cervidae,Odocoileus,hemionus,Adult,46.15403,-121.11246,69,37,34,23,15,8,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,3
Survival and Harvest Vulnerability of Elk in the Cascade Range of Washington,McCorquodale,1992,1999,2003,The Journal of Wildlife Management,67,2,248,257,Artiodactyla,Cervidae,Cervus,elaphus,Adult,46.15403,-121.11246,78,26,26,19,16,3,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0
Elk Survival and Mortality Causes in the Blue Mountains of Washington,McCorquodale,2003,2006,2011,The Journal of Wildlife Management,75,4,897,904,Artiodactyla,Cervidae,Cervus,elaphus,Adult,46.22640,-117.91455,121,31,27,14,13,1,0,0,0,0,0,0,0,5,0,2,5,1,0,0,0,4
Survival and Harvest Vulnerability of Elk in the Cascade Range of Washington,McCorquodale,1992,1999,2003,The Journal of Wildlife Management,67,2,248,257,Artiodactyla,Cervidae,Cervus,elaphus,Juvenile,46.15403,-121.11246,NA,13,13,13,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Factors Influencing Survival of White-Tailed Deer Fawns in Coastal South Carolina,McCoy,2006,2010,2013,Journal of Fish and Wildlife Management,4,2,280,289,Artiodactyla,Cervidae,Odocoileus,virginianus,Juvenile,33.15649,-80.42344,210,66,44,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,22
Influence of hair loss syndrome on black-tailed deer fawn survival,McCoy,2006,2009,2014,The Journal of Wildlife Management,78,7,1177,1188,Artiodactyla,Cervidae,Odocoileus,hemionus,Juvenile,48.17055,-124.37815,228,129,124,0,0,0,0,0,0,0,0,3,0,96,0,0,25,0,0,0,0,5
