Title,Author,Start Date,End Date,Publication Year,Source,Volume,Issue,Beg page,End page,Order,Family,Genus,Species,Age,Latitude,Longitude,Number tracked,Total Mortality,Known Mortality,Total Harvest,Legal Harvest,Illegal Harvest,Vehicle,Fence,Electrocution,Wind Turbine,Powerline,Other Human,Predation,Disease,Accident/Injury,Starvation,Other Natural,Unknown
Bald Eagle Survival and Population Dynamcis in Alaska after the Exxon Valdez Oil Spill,Bowman,1989,1992,1995,The Journal of Wildlife Management,59,2,317,324,Accipitriformes,Accipitridae,Haliaeetus,leucocehpalus,Multiple,61.13076,-147.23308,159,16,14,1,0,1,0,0,0,0,0,0,0,0,8,5,0,2
Factors influencing breeding season survival of female mallards in the Great Lakes Region,Boyer,2001,2003,2015,Thesis: Michigan State University,,,1,66,Anseriformes,Anatidae,Anas,platyrhynchos,Adult,41.51198,-82.95141,57,13,10,0,0,0,0,0,0,0,0,2,8,0,0,0,0,3
Factors influencing breeding season survival of female mallards in the Great Lakes Region,Boyer,2001,2003,2015,Thesis: Michigan State University,,,1,66,Anseriformes,Anatidae,Anas,platyrhynchos,Adult,43.38524,-84.82937,59,11,8,0,0,0,0,0,0,0,0,1,7,0,0,0,0,3
Factors influencing breeding season survival of female mallards in the Great Lakes Region,Boyer,2001,2003,2015,Thesis: Michigan State University,,,1,66,Anseriformes,Anatidae,Anas,platyrhynchos,Adult,41.70094,-84.98563,60,7,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4
Factors influencing breeding season survival of female mallards in the Great Lakes Region,Boyer,2001,2003,2015,Thesis: Michigan State University,,,1,66,Anseriformes,Anatidae,Anas,platyrhynchos,Adult,42.29069,-85.25619,60,10,10,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0
Factors influencing breeding season survival of female mallards in the Great Lakes Region,Boyer,2001,2003,2015,Thesis: Michigan State University,,,1,66,Anseriformes,Anatidae,Anas,platyrhynchos,Adult,43.70573,-85.46575,60,9,8,0,0,0,0,0,0,0,0,1,7,0,0,0,0,1
Factors influencing breeding season survival of female mallards in the Great Lakes Region,Boyer,2001,2003,2015,Thesis: Michigan State University,,,1,66,Anseriformes,Anatidae,Anas,platyrhynchos,Adult,41.10985,-81.53770,60,7,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3
Factors influencing breeding season survival of female mallards in the Great Lakes Region,Boyer,2001,2003,2015,Thesis: Michigan State University,,,1,66,Anseriformes,Anatidae,Anas,platyrhynchos,Adult,43.84264,-88.86040,60,11,8,0,0,0,0,0,0,0,0,0,8,0,0,0,0,3
Factors influencing breeding season survival of female mallards in the Great Lakes Region,Boyer,2001,2003,2015,Thesis: Michigan State University,,,1,66,Anseriformes,Anatidae,Anas,platyrhynchos,Adult,44.44667,-88.56375,60,14,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,4
Factors influencing breeding season survival of female mallards in the Great Lakes Region,Boyer,2001,2003,2015,Thesis: Michigan State University,,,1,66,Anseriformes,Anatidae,Anas,platyrhynchos,Adult,45.13004,-92.52740,60,12,7,0,0,0,0,0,0,0,0,1,6,0,0,0,0,5
The role of covey demographics in northern bobwhite (Colinus virginianus) production,Brooks,2003,2004,2005,Thesis: Texas A & M University,,,1,89,Galliformes,Odontophoridae,Colinus,virginianus,Multiple,32.57749,-100.25690,233,108,63,2,2,0,0,0,0,0,0,0,57,0,0,0,4,45
"The diet and disease susceptibility of grey partridges Perdix perdix on arable farmland in East Anglia, England",Browne,2001,2003,2006,Wildlife Biology,12,1,3,10,Galliformes,Phasianidae,Perdix,perdix,Adult,52.56797,0.65330,85,23,14,0,0,0,1,0,0,0,0,0,7,6,0,0,0,9
Survival Rates and population dynamics of bald eagles on Chesapeake Bay,Buehler,1986,1990,1991,The Journal of Wildlife Management,55,4,608,613,Accipitriformes,Accipitridae,Haliaeetus,leucocehpalus,Juvenile,38.38040,-77.04855,39,2,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Survival and causes of mortality among wild red-legged partridges Alectoris rufa in southern Spain: implications for conservation,Buenestado,1999,2002,2009,Ibis,151,4,720,730,Galliformes,Phasianidae,Alectoris,rufa,Mulitple,38.94351,-4.03778,151,78,62,21,21,0,0,0,0,0,1,0,27,13,0,0,0,16
Survivorship of pileated woodpeckers in northeastern Oregon,Bull,1989,1990,2001,Journal of Field Ornithology,72,1,131,135,Piciformes,Picidae,Dryocopus,pileatus,Juvenile,45.31858,-117.55915,13,10,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6
Survivorship of pileated woodpeckers in northeastern Oregon,Bull,1989,1990,2001,Journal of Field Ornithology,72,1,131,135,Piciformes,Picidae,Dryocopus,pileatus,Adult,45.31858,-117.55915,31,14,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7
Reproductive Ecology and survival of scaled quail in the trans-Pecos region of Texas,Buntyn,1999,2000,2004,Thesis: Angelo State University,,,1,58,Galliformes,Odontophoridae,Callipepla,squamata,Adult,30.63721,-102.86764,207,20,20,0,0,0,0,0,0,0,0,0,18,0,0,0,2,0
Survival and Cause-Specific Mortality of Northern Bobwhite in Missouri,Burger,1989,1992,1995,The Journal of Wildlife Management,59,2,401,410,Galliformes,Odontophoridae,Colinus,virginianus,Adult,39.95320,-92.40268,1001,126,117,26,26,0,0,0,0,0,0,0,85,0,3,0,3,9
Survival and Cause-Specific Mortality of Northern Bobwhite in Missouri,Burger,1989,1992,1995,The Journal of Wildlife Management,59,2,401,410,Galliformes,Odontophoridae,Colinus,virginianus,Juvenile,39.95320,-92.40268,NA,513,454,123,123,0,0,0,0,0,0,0,318,0,4,0,9,59
